  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.004     Re =     3.276 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00509   0.00072  -0.0000   0.5004   0.5005
   0.250   0.0281   0.00511   0.00072  -0.0000   0.4754   0.5223
   0.500   0.0561   0.00511   0.00073   0.0000   0.4528   0.5467
   0.750   0.0841   0.00513   0.00075   0.0000   0.4290   0.5707
   1.000   0.1121   0.00516   0.00077   0.0000   0.4049   0.5937
   1.250   0.1401   0.00519   0.00080   0.0000   0.3810   0.6175
   1.500   0.1680   0.00524   0.00083   0.0001   0.3570   0.6405
   1.750   0.1959   0.00528   0.00087   0.0001   0.3341   0.6642
   2.000   0.2237   0.00536   0.00092   0.0001   0.3088   0.6871
   2.250   0.2515   0.00542   0.00097   0.0002   0.2867   0.7104
   2.500   0.2791   0.00550   0.00104   0.0003   0.2623   0.7334
   2.750   0.3069   0.00558   0.00111   0.0003   0.2410   0.7559
   3.000   0.3344   0.00569   0.00119   0.0005   0.2179   0.7778
   3.250   0.3618   0.00579   0.00127   0.0006   0.1969   0.7996
   3.500   0.3893   0.00589   0.00136   0.0007   0.1777   0.8204
   3.750   0.4167   0.00602   0.00147   0.0009   0.1585   0.8397
   4.000   0.4439   0.00616   0.00158   0.0010   0.1399   0.8582
   4.250   0.4710   0.00630   0.00170   0.0012   0.1230   0.8754
   4.500   0.4982   0.00644   0.00182   0.0014   0.1092   0.8915
   4.750   0.5251   0.00659   0.00196   0.0017   0.0959   0.9067
   5.000   0.5519   0.00674   0.00209   0.0020   0.0856   0.9206
   5.250   0.5786   0.00688   0.00223   0.0023   0.0772   0.9328
   5.500   0.6054   0.00705   0.00237   0.0026   0.0688   0.9436
   5.750   0.6318   0.00722   0.00252   0.0030   0.0615   0.9540
   6.000   0.6579   0.00740   0.00268   0.0034   0.0550   0.9628
   6.250   0.6844   0.00757   0.00283   0.0038   0.0504   0.9706
   6.500   0.7115   0.00776   0.00300   0.0040   0.0454   0.9774
   6.750   0.7383   0.00795   0.00316   0.0043   0.0419   0.9834
   7.000   0.7689   0.00815   0.00334   0.0036   0.0383   0.9867
   7.250   0.7985   0.00838   0.00354   0.0032   0.0347   0.9902
   7.500   0.8278   0.00858   0.00372   0.0029   0.0325   0.9933
   7.750   0.8598   0.00882   0.00394   0.0019   0.0300   0.9944
   8.000   0.8923   0.00905   0.00415   0.0008   0.0279   0.9952
   8.250   0.9244   0.00928   0.00437  -0.0003   0.0262   0.9960
   8.500   0.9560   0.00956   0.00462  -0.0012   0.0239   0.9970
   8.750   0.9877   0.00977   0.00484  -0.0022   0.0231   0.9980
   9.000   1.0190   0.01004   0.00508  -0.0030   0.0217   0.9989
   9.250   1.0498   0.01035   0.00539  -0.0038   0.0201   0.9996
   9.500   1.0773   0.01057   0.00561  -0.0039   0.0196   1.0000
   9.750   1.0988   0.01079   0.00583  -0.0027   0.0189   1.0000
  10.000   1.1203   0.01106   0.00609  -0.0014   0.0181   1.0000
  10.250   1.1417   0.01138   0.00641  -0.0002   0.0169   1.0000
  10.500   1.1645   0.01162   0.00666   0.0007   0.0165   1.0000
  10.750   1.1875   0.01187   0.00692   0.0016   0.0161   1.0000
  11.000   1.2107   0.01215   0.00721   0.0023   0.0156   1.0000
  11.250   1.2341   0.01247   0.00753   0.0031   0.0150   1.0000
  11.500   1.2571   0.01284   0.00790   0.0038   0.0143   1.0000
  11.750   1.2802   0.01321   0.00830   0.0045   0.0137   1.0000
  12.000   1.3042   0.01351   0.00861   0.0050   0.0135   1.0000
  12.250   1.3279   0.01383   0.00895   0.0056   0.0133   1.0000
  12.500   1.3513   0.01418   0.00931   0.0062   0.0129   1.0000
  12.750   1.3742   0.01456   0.00970   0.0069   0.0126   1.0000
  13.000   1.3966   0.01497   0.01012   0.0076   0.0121   1.0000
  13.250   1.4180   0.01546   0.01063   0.0084   0.0116   1.0000
  13.500   1.4386   0.01599   0.01120   0.0093   0.0111   1.0000
  13.750   1.4606   0.01638   0.01161   0.0101   0.0110   1.0000
  14.000   1.4819   0.01680   0.01205   0.0109   0.0109   1.0000
  14.250   1.5027   0.01724   0.01252   0.0117   0.0107   1.0000
  14.500   1.5227   0.01771   0.01302   0.0127   0.0106   1.0000
  14.750   1.5419   0.01821   0.01355   0.0137   0.0104   1.0000
  15.000   1.5599   0.01875   0.01411   0.0149   0.0101   1.0000
