  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.030 e 6     Ncrit =   2.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.02376   0.01036  -0.0000   0.8539   0.8539
   1.000   0.1495   0.02379   0.01038  -0.0070   0.7632   0.9264
   2.000   0.2906   0.02400   0.01053  -0.0122   0.6536   0.9844
   3.000   0.3883   0.02476   0.01112  -0.0094   0.5403   1.0000
   4.000   0.4666   0.02613   0.01232  -0.0031   0.4276   1.0000
   5.000   0.5406   0.02818   0.01414   0.0032   0.3136   1.0000
   6.000   0.6107   0.03107   0.01692   0.0090   0.2128   1.0000
   7.000   0.6784   0.03495   0.02091   0.0140   0.1441   1.0000
   8.000   0.7394   0.03993   0.02618   0.0186   0.1039   1.0000
   9.000   0.7901   0.04628   0.03327   0.0230   0.0803   1.0000
  10.000   0.8162   0.05456   0.04220   0.0274   0.0674   1.0000
